"Source:","/home/pab/Inventions/analog-circuit-game-console/ms-circuit-video-games/games/switched-tag/analog-module/kicad-circuit/switched-tag-circuit-kicad/switched-tag-circuit-kicad.kicad_sch"
"Date:","Wed Jun  8 11:49:50 2022"
"Tool:","Eeschema (6.0.4)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","89"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Spice_Lib_File","Spice_Model","Spice_Netlist_Enabled","Spice_Node_Sequence","Spice_Primitive"
"","","C1","0.1u","Device:C","","~","","","","",""
"","","C2","100p","Device:C","","~","","","","",""
"","","C3","0.1u","Device:C","","~","","","","",""
"","","C4","0.1u","Device:C","","~","","","","",""
"","","C5","2u","Device:C","","~","","","","",""
"","","D1","D1N914","Device:D","","1n914","../../../../../spice-models/1N914.lib","D1N914","Y","2 1","D"
"","","D2","D1N914","Device:D","","1n914","../../../../../spice-models/1N914.lib","D1N914","Y","2 1","D"
"","","D3","D1N914","Device:D","","1n914","../../../../../spice-models/1N914.lib","D1N914","Y","2 1","D"
"","","D4","D1N914","Device:D","","1n914","../../../../../spice-models/1N914.lib","D1N914","Y","2 1","D"
"","","D5","D1N914","Device:D","","1n914","../../../../../spice-models/1N914.lib","D1N914","Y","2 1","D"
"","","D6","D1N914","Device:D","","1n914","../../../../../spice-models/1N914.lib","D1N914","Y","2 1","D"
"","","D7","D1N914","Device:D","","1n914","../../../../../spice-models/1N914.lib","D1N914","Y","2 1","D"
"","","D8","D1N914","Device:D","","1n914","../../../../../spice-models/1N914.lib","D1N914","Y","2 1","D"
"","","Q1","RUL035N02","Device:Q_NMOS_DGS","","~","../../../../../spice-models/rul035n02.lib","RUL035N02","Y","","X"
"","","Q2","RUL035N02","Device:Q_NMOS_DGS","","~","../../../../../spice-models/rul035n02.lib","RUL035N02","Y","","X"
"","","Q3","RUL035N02","Device:Q_NMOS_DGS","","~","../../../../../spice-models/rul035n02.lib","RUL035N02","Y","","X"
"","","Q4","RUL035N02","Device:Q_NMOS_DGS","","~","../../../../../spice-models/rul035n02.lib","RUL035N02","Y","","X"
"","","Q5","RUL035N02","Device:Q_NMOS_DGS","","~","../../../../../spice-models/rul035n02.lib","RUL035N02","Y","","X"
"","","R1","10k","Device:R","","~","","","","",""
"","","R2","10k","Device:R","","~","","","","",""
"","","R3","10k","Device:R","","~","","","","",""
"","","R4","10k","Device:R","","~","","","","",""
"","","R5","10k","Device:R","","~","","","","",""
"","","R6","10k","Device:R","","~","","","","",""
"","","R7","10k","Device:R","","~","","","","",""
"","","R8","10k","Device:R","","~","","","","",""
"","","R9","10k","Device:R","","~","","","","",""
"","","R10","10k","Device:R","","~","","","","",""
"","","R11","10k","Device:R","","~","","","","",""
"","","R12","10k","Device:R","","~","","","","",""
"","","R13","5k","Device:R","","~","","","","",""
"","","R14","10k","Device:R","","~","","","","",""
"","","R15","10k","Device:R","","~","","","","",""
"","","R16","10k","Device:R","","~","","","","",""
"","","R17","10k","Device:R","","~","","","","",""
"","","R18","10k","Device:R","","~","","","","",""
"","","R19","10k","Device:R","","~","","","","",""
"","","R20","10k","Device:R","","~","","","","",""
"","","R21","10k","Device:R","","~","","","","",""
"","","R22","10k","Device:R","","~","","","","",""
"","","R23","10k","Device:R","","~","","","","",""
"","","R24","10k","Device:R","","~","","","","",""
"","","R25","10k","Device:R","","~","","","","",""
"","","R26","10k","Device:R","","~","","","","",""
"","","R27","5k","Device:R","","~","","","","",""
"","","R28","10k","Device:R","","~","","","","",""
"","","R29","10k","Device:R","","~","","","","",""
"","","R30","10k","Device:R","","~","","","","",""
"","","R31","10k","Device:R","","~","","","","",""
"","","R32","10k","Device:R","","~","","","","",""
"","","R33","10k","Device:R","","~","","","","",""
"","","R34","10k","Device:R","","~","","","","",""
"","","R35","10k","Device:R","","~","","","","",""
"","","R36","10k","Device:R","","~","","","","",""
"","","R37","10k","Device:R","","~","","","","",""
"","","R38","10k","Device:R","","~","","","","",""
"","","R39","100k","Device:R","","~","","","","",""
"","","R40","10k","Device:R","","~","","","","",""
"","","R41","10k","Device:R","","~","","","","",""
"","","R42","1k","Device:R","","~","","","","",""
"","","R43","1k","Device:R","","~","","","","",""
"","","R44","1k","Device:R","","~","","","","",""
"","","U1","OPAMP","Simulation_SPICE:OPAMP","","~","/home/pab/Inventions/analog-circuit-game-console/ms-circuit-video-games/spice-models/ad8031.mod","AD8031","Y","1 2 4 5 3","X"
"","","U2","OPAMP","Simulation_SPICE:OPAMP","","~","/home/pab/Inventions/analog-circuit-game-console/ms-circuit-video-games/spice-models/ad8031.mod","AD8031","Y","1 2 4 5 3","X"
"","","U3","OPAMP","Simulation_SPICE:OPAMP","","~","/home/pab/Inventions/analog-circuit-game-console/ms-circuit-video-games/spice-models/ad8031.mod","AD8031","Y","1 2 4 5 3","X"
"","","U4","OPAMP","Simulation_SPICE:OPAMP","","~","/home/pab/Inventions/analog-circuit-game-console/ms-circuit-video-games/spice-models/ad8031.mod","AD8031","Y","1 2 4 5 3","X"
"","","U5","OPAMP","Simulation_SPICE:OPAMP","","~","/home/pab/Inventions/analog-circuit-game-console/ms-circuit-video-games/spice-models/ad8031.mod","AD8031","Y","1 2 4 5 3","X"
"","","U6","OPAMP","Simulation_SPICE:OPAMP","","~","/home/pab/Inventions/analog-circuit-game-console/ms-circuit-video-games/spice-models/ad8031.mod","AD8031","Y","1 2 4 5 3","X"
"","","U7","OPAMP","Simulation_SPICE:OPAMP","","~","/home/pab/Inventions/analog-circuit-game-console/ms-circuit-video-games/spice-models/ad8031.mod","AD8031","Y","1 2 4 5 3","X"
"","","U8","OPAMP","Simulation_SPICE:OPAMP","","~","/home/pab/Inventions/analog-circuit-game-console/ms-circuit-video-games/spice-models/ad8031.mod","AD8031","Y","1 2 4 5 3","X"
"","","U9","OPAMP","Simulation_SPICE:OPAMP","","~","/home/pab/Inventions/analog-circuit-game-console/ms-circuit-video-games/spice-models/ad8031.mod","AD8031","Y","1 2 4 5 3","X"
"","","U10","OPAMP","Simulation_SPICE:OPAMP","","~","/home/pab/Inventions/analog-circuit-game-console/ms-circuit-video-games/spice-models/ad8031.mod","AD8031","Y","1 2 4 5 3","X"
"","","U11","OPAMP","Simulation_SPICE:OPAMP","","~","/home/pab/Inventions/analog-circuit-game-console/ms-circuit-video-games/spice-models/ad8031.mod","AD8031","Y","1 2 4 5 3","X"
"","","U12","OPAMP","Simulation_SPICE:OPAMP","","~","/home/pab/Inventions/analog-circuit-game-console/ms-circuit-video-games/spice-models/ad8031.mod","AD8031","Y","1 2 4 5 3","X"
"","","U13","OPAMP","Simulation_SPICE:OPAMP","","~","/home/pab/Inventions/analog-circuit-game-console/ms-circuit-video-games/spice-models/ad8031.mod","AD8031","Y","1 2 4 5 3","X"
"","","U14","OPAMP","Simulation_SPICE:OPAMP","","~","/home/pab/Inventions/analog-circuit-game-console/ms-circuit-video-games/spice-models/ad8031.mod","AD8031","Y","1 2 4 5 3","X"
"","","U15","OPAMP","Simulation_SPICE:OPAMP","","~","/home/pab/Inventions/analog-circuit-game-console/ms-circuit-video-games/spice-models/ad8031.mod","AD8031","Y","1 2 4 5 3","X"
"","","U16","OPAMP","Simulation_SPICE:OPAMP","","~","/home/pab/Inventions/analog-circuit-game-console/ms-circuit-video-games/spice-models/ad8031.mod","AD8031","Y","1 2 4 5 3","X"
"","","U17","OPAMP","Simulation_SPICE:OPAMP","","~","/home/pab/Inventions/analog-circuit-game-console/ms-circuit-video-games/spice-models/ad8031.mod","AD8031","Y","1 2 4 5 3","X"
"","","U18","OPAMP","Simulation_SPICE:OPAMP","","~","/home/pab/Inventions/analog-circuit-game-console/ms-circuit-video-games/spice-models/ad8031.mod","AD8031","Y","1 2 4 5 3","X"
"","","U19","OPAMP","Simulation_SPICE:OPAMP","","~","/home/pab/Inventions/analog-circuit-game-console/ms-circuit-video-games/spice-models/ad8031.mod","AD8031","Y","1 2 4 5 3","X"
"","","V1","VSIN","Simulation_SPICE:VSIN","","~","","sin(1.5 1.5 10)","Y","","V"
"","","V2","VPULSE","Simulation_SPICE:VPULSE","","~","","pulse(0 3 2 0.1 0.1 1 2)","Y","","V"
"","","V3","VPULSE","Simulation_SPICE:VPULSE","","~","","pulse(0 3 1 0.1 0.1 1 2)","Y","","V"
"","","V4","VDC","Simulation_SPICE:VDC","","~","","dc(-3.3)","Y","","V"
"","","V5","VDC","Simulation_SPICE:VDC","","~","","dc(3.3)","Y","","V"
"","","V6","VDC","Simulation_SPICE:VDC","","~","","dc(1)","Y","","V"
"","","V7","VDC","Simulation_SPICE:VDC","","~","","dc(1)","Y","","V"
"","","V8","VDC","Simulation_SPICE:VDC","","~","","dc(1)","Y","","V"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Spice_Lib_File","Spice_Model","Spice_Netlist_Enabled","Spice_Node_Sequence","Spice_Primitive"
"1","3","C1, C3, C4","0.1u","Device:C","","~","","","","",""
"2","1","C2","100p","Device:C","","~","","","","",""
"3","1","C5","2u","Device:C","","~","","","","",""
"4","8","D1, D2, D3, D4, D5, D6, D7, D8","D1N914","Device:D","","1n914","../../../../../spice-models/1N914.lib","D1N914","Y","2 1","D"
"5","5","Q1, Q2, Q3, Q4, Q5","RUL035N02","Device:Q_NMOS_DGS","","~","../../../../../spice-models/rul035n02.lib","RUL035N02","Y","","X"
"6","38","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R40, R41","10k","Device:R","","~","","","","",""
"7","2","R13, R27","5k","Device:R","","~","","","","",""
"8","1","R39","100k","Device:R","","~","","","","",""
"9","3","R42, R43, R44","1k","Device:R","","~","","","","",""
"10","19","U1, U2, U3, U4, U5, U6, U7, U8, U9, U10, U11, U12, U13, U14, U15, U16, U17, U18, U19","OPAMP","Simulation_SPICE:OPAMP","","~","/home/pab/Inventions/analog-circuit-game-console/ms-circuit-video-games/spice-models/ad8031.mod","AD8031","Y","1 2 4 5 3","X"
"11","1","V1","VSIN","Simulation_SPICE:VSIN","","~","","sin(1.5 1.5 10)","Y","","V"
"12","2","V2, V3","VPULSE","Simulation_SPICE:VPULSE","","~","","pulse(0 3 2 0.1 0.1 1 2)","Y","","V"
"13","5","V4, V5, V6, V7, V8","VDC","Simulation_SPICE:VDC","","~","","dc(-3.3)","Y","","V"
